,WPApitch,Batting,SH,AVGbat,ERAgainst,HBP,Zswingbat,EV,BABIP,Clutch,HRtoFBbat,IFFBpercent,FBpercent,HRtoFB,BBpercentpitch,BBpercentbat,OContactpitch,Zcontactbat,Win_Percent
0,2.26,-35.8,46.0,0.264,660.0,33.0,64.6,88.5,0.294,-4.95,11.4,8.2,31.1,12.3,8.0,7.8,65.5,87.6,0.4876543209876543
1,-6.02,-112.8,67.0,0.251,699.0,44.0,65.5,87.0,0.305,1.51,8.0,9.4,29.0,11.3,8.9,7.8,67.3,88.2,0.4135802469135802
2,2.93,-19.0,20.0,0.25,646.0,51.0,69.4,88.8,0.298,-2.14,14.3,10.0,36.6,12.0,7.9,7.0,66.8,85.4,0.5
3,-0.36,-7.3,30.0,0.265,698.0,46.0,64.0,88.5,0.305,-5.64,10.9,10.0,32.8,11.6,7.7,7.7,67.0,88.4,0.4814814814814814
4,12.67,-30.9,32.0,0.244,546.0,74.0,69.4,88.1,0.287,0.84,11.9,9.0,36.2,10.7,6.8,9.1,63.0,83.7,0.5987654320987654
5,3.59,-79.0,30.0,0.25,643.0,65.0,66.3,87.8,0.311,-0.16,10.5,10.2,30.0,11.4,7.7,6.7,62.6,87.3,0.4691358024691358
6,-4.64,-63.0,47.0,0.248,702.0,42.0,69.3,86.9,0.297,-7.39,11.1,8.8,35.0,12.1,8.7,8.0,65.7,87.0,0.3950617283950617
7,5.99,-23.7,47.0,0.256,586.0,39.0,65.7,88.3,0.288,-2.14,9.8,11.1,33.7,11.7,7.2,8.7,61.4,88.6,0.5031055900621118
8,-11.16,-96.6,44.0,0.265,799.0,33.0,69.0,88.4,0.318,1.21,12.8,9.9,34.0,13.2,9.2,6.4,64.2,85.6,0.419753086419753
9,-4.49,19.0,23.0,0.27,746.0,41.0,68.9,88.4,0.298,-1.93,10.1,8.7,34.5,12.0,7.9,7.4,67.8,86.8,0.4596273291925465
10,1.91,58.6,28.0,0.25,572.0,56.0,70.2,88.7,0.285,-7.54,14.7,10.0,38.4,10.9,7.1,8.0,63.7,82.5,0.5308641975308642
11,8.86,-8.0,34.0,0.269,603.0,77.0,66.5,88.0,0.286,4.8,8.9,9.6,33.9,9.9,8.0,6.3,66.7,89.9,0.5864197530864198
12,3.62,-37.5,37.0,0.246,631.0,58.0,64.8,87.8,0.285,1.49,11.7,9.2,35.3,10.0,7.6,7.3,64.0,88.6,0.5246913580246914
13,7.24,43.5,49.0,0.25,555.0,60.0,67.9,88.6,0.296,-2.13,12.8,9.9,35.4,12.1,6.7,9.2,61.8,85.9,0.5679012345679012
14,-6.37,-66.0,71.0,0.26,640.0,39.0,64.8,88.3,0.294,0.07,10.1,8.4,27.6,9.5,8.4,6.3,65.9,88.1,0.4382716049382716
