,GB,ZSwing,ERA,ER,OBP,SV,K9,Unnamed0,ZContact,Win_Percent
0,45.7,64.6,4.05,660.0,0.324,44.0,7.46,1.0,87.6,0.4876543209876543
1,43.4,65.5,4.41,699.0,0.314,44.0,7.25,2.0,88.2,0.4135802469135802
2,45.2,69.4,4.05,646.0,0.307,43.0,7.73,3.0,85.4,0.5
3,44.1,64.0,4.34,698.0,0.325,40.0,7.57,4.0,88.4,0.4814814814814814
4,46.6,69.4,3.36,546.0,0.321,48.0,8.81,5.0,83.7,0.5987654320987654
5,45.2,66.3,3.98,643.0,0.306,37.0,8.42,6.0,87.3,0.4691358024691358
6,44.1,69.3,4.35,702.0,0.312,35.0,7.75,7.0,87.0,0.3950617283950617
7,44.5,65.7,3.68,586.0,0.325,38.0,8.84,8.0,88.6,0.5031055900621118
8,47.7,69.0,5.04,799.0,0.315,36.0,7.02,9.0,85.6,0.419753086419753
9,42.9,68.9,4.64,746.0,0.328,35.0,6.84,10.0,86.8,0.4596273291925465
10,47.3,70.2,3.57,572.0,0.315,39.0,7.99,11.0,82.5,0.5308641975308642
11,42.8,66.5,3.74,603.0,0.322,56.0,7.19,12.0,89.9,0.5864197530864198
12,41.5,64.8,3.94,631.0,0.307,46.0,7.63,13.0,88.6,0.5246913580246914
13,50.1,67.9,3.46,555.0,0.326,47.0,8.69,14.0,85.9,0.5679012345679012
14,44.5,64.8,4.04,640.0,0.31,35.0,7.27,15.0,88.1,0.4382716049382716
15,46.1,68.5,4.28,682.0,0.307,40.0,7.9,16.0,86.7,0.419753086419753
16,44.0,66.0,4.07,653.0,0.305,45.0,6.52,17.0,86.7,0.5123456790123457
17,46.3,66.7,3.45,561.0,0.312,50.0,8.23,18.0,87.6,0.5555555555555556
18,47.0,64.4,4.03,653.0,0.323,48.0,8.46,19.0,87.8,0.5370370370370371
19,45.0,63.2,4.16,668.0,0.312,28.0,7.34,20.0,89.2,0.419753086419753
20,44.0,67.7,4.69,749.0,0.303,35.0,7.22,21.0,87.3,0.3888888888888889
21,50.4,67.1,3.23,534.0,0.323,54.0,8.08,22.0,85.7,0.6049382716049383
22,46.9,66.9,4.09,655.0,0.3,41.0,8.7,23.0,85.8,0.4567901234567901
23,46.3,67.2,4.16,677.0,0.311,45.0,7.89,24.0,85.0,0.4691358024691358
24,46.0,69.8,3.73,599.0,0.326,41.0,7.26,25.0,87.3,0.5185185185185185
25,48.0,69.3,2.94,478.0,0.321,62.0,8.17,26.0,86.8,0.6172839506172839
26,41.8,68.8,3.74,604.0,0.314,60.0,8.39,27.0,84.4,0.4938271604938271
27,44.2,64.4,4.25,682.0,0.325,45.0,6.83,28.0,86.6,0.5432098765432098
28,43.7,64.3,3.81,610.0,0.34,34.0,6.98,29.0,86.4,0.5740740740740741
29,44.7,67.8,3.62,577.0,0.321,41.0,8.42,30.0,85.7,0.5123456790123457
30,46.0,65.1,5.09,821.0,0.32,31.0,8.17,31.0,86.2,0.4259259259259259
31,44.7,66.9,4.51,725.0,0.321,39.0,7.63,32.0,86.6,0.422360248447205
32,44.8,67.9,4.22,671.0,0.317,54.0,7.84,33.0,84.7,0.5493827160493827
33,41.5,62.8,4.0,640.0,0.348,43.0,8.51,34.0,89.2,0.5740740740740741
34,46.9,66.7,3.15,511.0,0.343,38.0,8.88,35.0,84.7,0.639751552795031
35,43.1,67.5,4.12,662.0,0.317,43.0,7.9,36.0,86.1,0.4814814814814814
36,41.6,68.2,4.91,787.0,0.316,28.0,7.75,37.0,86.6,0.419753086419753
37,46.7,68.3,3.86,619.0,0.329,37.0,8.71,38.0,86.8,0.5838509316770186
38,49.1,67.9,4.92,781.0,0.336,37.0,7.7,39.0,86.3,0.4629629629629629
39,44.5,66.9,4.24,673.0,0.331,47.0,7.76,40.0,86.4,0.5341614906832298
40,45.2,68.8,4.06,663.0,0.319,44.0,8.56,41.0,83.2,0.5185185185185185
41,44.3,68.9,4.21,674.0,0.312,41.0,8.04,42.0,87.6,0.5
42,40.8,67.5,4.28,676.0,0.322,29.0,7.19,43.0,89.2,0.4567901234567901
43,42.8,67.5,3.7,598.0,0.319,47.0,9.35,44.0,86.5,0.5617283950617284
44,43.0,63.8,4.05,646.0,0.322,55.0,8.65,45.0,88.1,0.4906832298136646
45,46.0,65.7,4.1,653.0,0.322,46.0,7.37,46.0,83.5,0.4506172839506173
46,43.0,63.4,5.09,816.0,0.316,26.0,7.43,47.0,85.5,0.3641975308641975
47,44.2,66.6,3.58,576.0,0.316,55.0,8.68,48.0,87.4,0.5370370370370371
48,46.9,65.8,4.16,661.0,0.314,48.0,8.78,49.0,88.6,0.5185185185185185
49,46.2,66.3,4.51,719.0,0.304,42.0,7.46,50.0,87.0,0.4259259259259259
50,41.0,68.9,4.64,741.0,0.301,43.0,8.14,51.0,85.4,0.4382716049382716
