,ERA,ERAgainst,AVGbat,OPS,WPApitch,Batting,HR,EV,WARpitch,FIP,WHIPAllowed,RBI,KtoBB,WARbat,Win_Percent
0,4.05,660.0,0.264,0.738,2.26,-35.8,154.0,88.5,10.6,4.21,1.33,680.0,2.43,21.6,0.4876543209876543
1,4.41,699.0,0.251,0.674,-6.02,-112.8,100.0,87.0,7.0,4.34,1.41,548.0,2.09,9.9,0.4135802469135802
2,4.05,646.0,0.25,0.728,2.93,-19.0,217.0,88.8,15.8,4.11,1.32,686.0,2.55,17.7,0.5
3,4.34,698.0,0.265,0.74,-0.36,-7.3,161.0,88.5,11.8,4.17,1.36,706.0,2.55,17.9,0.4814814814814814
4,3.36,546.0,0.244,0.719,12.67,-30.9,171.0,88.1,22.9,3.3,1.15,657.0,3.52,25.4,0.5987654320987654
5,3.98,643.0,0.25,0.686,3.59,-79.0,136.0,87.8,17.4,3.82,1.32,595.0,2.87,8.8,0.4691358024691358
6,4.35,702.0,0.248,0.706,-4.64,-63.0,167.0,86.9,10.8,4.24,1.36,613.0,2.3,16.5,0.3950617283950617
7,3.68,586.0,0.256,0.725,5.99,-23.7,141.0,88.3,21.1,3.62,1.19,640.0,3.31,19.1,0.5031055900621118
8,5.04,799.0,0.265,0.748,-11.16,-96.6,186.0,88.4,8.3,4.56,1.51,702.0,1.92,9.7,0.419753086419753
9,4.64,746.0,0.27,0.748,-4.49,19.0,151.0,88.4,11.7,4.46,1.37,660.0,2.25,17.1,0.4596273291925465
10,3.57,572.0,0.25,0.752,1.91,58.6,230.0,88.7,18.9,3.66,1.2,691.0,3.03,26.1,0.5308641975308642
11,3.74,603.0,0.269,0.734,8.86,-8.0,139.0,88.0,13.8,4.04,1.28,689.0,2.37,21.8,0.5864197530864198
12,3.94,631.0,0.246,0.702,3.62,-37.5,176.0,87.8,12.2,4.05,1.26,621.0,2.62,17.1,0.5246913580246914
13,3.46,555.0,0.25,0.739,7.24,43.5,187.0,88.6,19.7,3.4,1.18,638.0,3.53,29.0,0.5679012345679012
14,4.04,640.0,0.26,0.694,-6.37,-66.0,120.0,88.3,12.2,3.98,1.32,575.0,2.27,15.3,0.4382716049382716
15,4.28,682.0,0.251,0.7,-4.27,-89.4,145.0,88.0,9.9,4.17,1.36,624.0,2.44,12.6,0.419753086419753
16,4.07,653.0,0.247,0.704,4.29,-74.9,156.0,88.1,16.0,4.1,1.33,661.0,2.53,12.1,0.5123456790123457
